candidate_id,rank,score,reasoning
CAND_0028793,1,1.8769,"Ranked by XGBoost student ranker: semantic fit 0.912, 7.2y exp, assessment 80."
CAND_0027801,2,1.8633,"Ranked by XGBoost student ranker: semantic fit 0.898, 7.4y exp, assessment 67."
CAND_0083852,3,1.8582,"Ranked by XGBoost student ranker: semantic fit 0.857, 6.0y exp, assessment 69."
CAND_0028287,4,1.8557,"Ranked by XGBoost student ranker: semantic fit 0.869, 5.7y exp, assessment 73."
CAND_0089947,5,1.8422,"Ranked by XGBoost student ranker: semantic fit 0.890, 5.4y exp, assessment 79."
CAND_0076163,6,1.8364,"Ranked by XGBoost student ranker: semantic fit 0.892, 6.9y exp, assessment 70."
CAND_0081053,7,1.8336,"Ranked by XGBoost student ranker: semantic fit 0.894, 5.4y exp, assessment 86."
CAND_0011125,8,1.8329,"Ranked by XGBoost student ranker: semantic fit 0.880, 6.6y exp, assessment 86."
CAND_0029948,9,1.8242,"Ranked by XGBoost student ranker: semantic fit 0.852, 6.3y exp, assessment 68."
CAND_0035721,10,1.8222,"Ranked by XGBoost student ranker: semantic fit 0.861, 7.2y exp, assessment 68."
CAND_0018549,11,1.8128,"Ranked by XGBoost student ranker: semantic fit 0.907, 6.8y exp, assessment 72."
CAND_0015929,12,1.8121,"Ranked by XGBoost student ranker: semantic fit 0.857, 7.2y exp, assessment 76."
CAND_0020877,13,1.8046,"Ranked by XGBoost student ranker: semantic fit 0.902, 5.1y exp, assessment 75."
CAND_0026532,14,1.8045,"Ranked by XGBoost student ranker: semantic fit 0.901, 4.8y exp, assessment 77."
CAND_0048379,15,1.804,"Ranked by XGBoost student ranker: semantic fit 0.864, 6.5y exp, assessment 70."
CAND_0015528,16,1.8027,"Ranked by XGBoost student ranker: semantic fit 0.914, 7.4y exp, assessment 65."
CAND_0004972,17,1.7989,"Ranked by XGBoost student ranker: semantic fit 0.887, 6.0y exp, assessment 68."
CAND_0052827,18,1.7963,"Ranked by XGBoost student ranker: semantic fit 0.868, 5.9y exp, assessment 78."
CAND_0060538,19,1.7919,"Ranked by XGBoost student ranker: semantic fit 0.879, 5.2y exp, assessment 72."
CAND_0062413,20,1.7909,"Ranked by XGBoost student ranker: semantic fit 0.893, 6.6y exp, assessment 66."
CAND_0020350,21,1.7852,"Ranked by XGBoost student ranker: semantic fit 0.897, 5.8y exp, assessment 62."
CAND_0005260,22,1.7772,"Ranked by XGBoost student ranker: semantic fit 0.907, 5.2y exp, assessment 81."
CAND_0081959,23,1.7761,"Ranked by XGBoost student ranker: semantic fit 0.862, 5.9y exp, assessment 74."
CAND_0043959,24,1.7746,"Ranked by XGBoost student ranker: semantic fit 0.831, 5.3y exp, assessment 67."
CAND_0054123,25,1.7717,"Ranked by XGBoost student ranker: semantic fit 0.908, 4.7y exp, assessment 72."
CAND_0087630,26,1.7703,"Ranked by XGBoost student ranker: semantic fit 0.915, 7.2y exp, assessment 68."
CAND_0007567,27,1.7701,"Ranked by XGBoost student ranker: semantic fit 0.883, 6.1y exp, assessment 77."
CAND_0095528,28,1.7671,"Ranked by XGBoost student ranker: semantic fit 0.902, 5.3y exp, assessment 69."
CAND_0091745,29,1.7667,"Ranked by XGBoost student ranker: semantic fit 0.870, 5.9y exp, assessment 75."
CAND_0058688,30,1.7641,"Ranked by XGBoost student ranker: semantic fit 0.904, 6.7y exp, assessment 67."
CAND_0072263,31,1.761,"Ranked by XGBoost student ranker: semantic fit 0.885, 6.7y exp, assessment 57."
CAND_0097079,32,1.7607,"Ranked by XGBoost student ranker: semantic fit 0.861, 5.7y exp, assessment 59."
CAND_0082026,33,1.7566,"Ranked by XGBoost student ranker: semantic fit 0.849, 6.0y exp, assessment 80."
CAND_0062009,34,1.7543,"Ranked by XGBoost student ranker: semantic fit 0.870, 5.9y exp, assessment 68."
CAND_0098454,35,1.754,"Ranked by XGBoost student ranker: semantic fit 0.877, 6.6y exp, assessment 71."
CAND_0002120,36,1.751,"Ranked by XGBoost student ranker: semantic fit 0.892, 6.5y exp, assessment 61."
CAND_0054829,37,1.7483,"Ranked by XGBoost student ranker: semantic fit 0.860, 5.7y exp, assessment 82."
CAND_0063862,38,1.7472,"Ranked by XGBoost student ranker: semantic fit 0.870, 5.3y exp, assessment 68."
CAND_0045613,39,1.7453,"Ranked by XGBoost student ranker: semantic fit 0.874, 5.0y exp, assessment 74."
CAND_0081480,40,1.7429,"Ranked by XGBoost student ranker: semantic fit 0.868, 5.6y exp, assessment 77."
CAND_0077817,41,1.742,"Ranked by XGBoost student ranker: semantic fit 0.854, 5.4y exp, assessment 70."
CAND_0008425,42,1.741,"Ranked by XGBoost student ranker: semantic fit 0.918, 7.8y exp, assessment 78."
CAND_0017991,43,1.7378,"Ranked by XGBoost student ranker: semantic fit 0.872, 4.8y exp, assessment 70."
CAND_0080589,44,1.7371,"Ranked by XGBoost student ranker: semantic fit 0.864, 5.7y exp, assessment 71."
CAND_0006418,45,1.737,"Ranked by XGBoost student ranker: semantic fit 0.900, 5.7y exp, assessment 89."
CAND_0023458,46,1.7333,"Ranked by XGBoost student ranker: semantic fit 0.886, 5.0y exp, assessment 63."
CAND_0066999,47,1.7327,"Ranked by XGBoost student ranker: semantic fit 0.898, 5.9y exp, assessment 70."
CAND_0010408,48,1.7308,"Ranked by XGBoost student ranker: semantic fit 0.885, 5.7y exp, assessment 60."
CAND_0041352,49,1.7298,"Ranked by XGBoost student ranker: semantic fit 0.855, 5.6y exp, assessment 58."
CAND_0082913,50,1.7291,"Ranked by XGBoost student ranker: semantic fit 0.892, 5.5y exp, assessment 66."
CAND_0039383,51,1.729,"Ranked by XGBoost student ranker: semantic fit 0.900, 7.1y exp, assessment 65."
CAND_0074342,52,1.7286,"Ranked by XGBoost student ranker: semantic fit 0.856, 5.7y exp, assessment 53."
CAND_0070485,53,1.7284,"Ranked by XGBoost student ranker: semantic fit 0.911, 6.4y exp, assessment 58."
CAND_0052682,54,1.7271,"Ranked by XGBoost student ranker: semantic fit 0.890, 6.6y exp, assessment 60."
CAND_0070745,55,1.727,"Ranked by XGBoost student ranker: semantic fit 0.865, 6.1y exp, assessment 60."
CAND_0040117,56,1.7269,"Ranked by XGBoost student ranker: semantic fit 0.894, 6.5y exp, assessment 64."
CAND_0075249,57,1.7227,"Ranked by XGBoost student ranker: semantic fit 0.903, 6.2y exp, assessment 68."
CAND_0050301,58,1.7225,"Ranked by XGBoost student ranker: semantic fit 0.850, 6.0y exp, assessment 68."
CAND_0011707,59,1.7217,"Ranked by XGBoost student ranker: semantic fit 0.861, 4.8y exp, assessment 77."
CAND_0055924,60,1.7169,"Ranked by XGBoost student ranker: semantic fit 0.847, 5.3y exp, assessment 61."
CAND_0033397,61,1.7158,"Ranked by XGBoost student ranker: semantic fit 0.856, 7.3y exp, assessment 64."
CAND_0042100,62,1.711,"Ranked by XGBoost student ranker: semantic fit 0.903, 7.3y exp, assessment 75."
CAND_0011432,63,1.7099,"Ranked by XGBoost student ranker: semantic fit 0.908, 7.6y exp, assessment 66."
CAND_0059001,64,1.7082,"Ranked by XGBoost student ranker: semantic fit 0.855, 4.7y exp, assessment 77."
CAND_0047918,65,1.7074,"Ranked by XGBoost student ranker: semantic fit 0.827, 5.7y exp, assessment 73."
CAND_0017916,66,1.7048,"Ranked by XGBoost student ranker: semantic fit 0.808, 7.1y exp, assessment 72."
CAND_0067201,67,1.7023,"Ranked by XGBoost student ranker: semantic fit 0.882, 6.0y exp, assessment 84."
CAND_0081846,68,1.7019,"Ranked by XGBoost student ranker: semantic fit 0.913, 6.7y exp, assessment 65."
CAND_0086012,69,1.7007,"Ranked by XGBoost student ranker: semantic fit 0.839, 5.4y exp, assessment 77."
CAND_0056940,70,1.6957,"Ranked by XGBoost student ranker: semantic fit 0.827, 7.4y exp, assessment 59."
CAND_0046525,71,1.6956,"Ranked by XGBoost student ranker: semantic fit 0.923, 6.1y exp, assessment 85."
CAND_0047721,72,1.6954,"Ranked by XGBoost student ranker: semantic fit 0.903, 7.0y exp, assessment 77."
CAND_0071974,73,1.6923,"Ranked by XGBoost student ranker: semantic fit 0.929, 7.8y exp, assessment 80."
CAND_0029366,74,1.6922,"Ranked by XGBoost student ranker: semantic fit 0.871, 6.1y exp, assessment 69."
CAND_0082765,75,1.6921,"Ranked by XGBoost student ranker: semantic fit 0.855, 5.9y exp, assessment 81."
CAND_0088002,76,1.692,"Ranked by XGBoost student ranker: semantic fit 0.844, 7.2y exp, assessment 78."
CAND_0012260,77,1.691,"Ranked by XGBoost student ranker: semantic fit 0.805, 5.6y exp, assessment 75."
CAND_0003557,78,1.6895,"Ranked by XGBoost student ranker: semantic fit 0.877, 6.8y exp, assessment 61."
CAND_0048862,79,1.6894,"Ranked by XGBoost student ranker: semantic fit 0.881, 5.7y exp, assessment 73."
CAND_0033911,80,1.6869,"Ranked by XGBoost student ranker: semantic fit 0.867, 6.9y exp, assessment 68."
CAND_0066376,81,1.6863,"Ranked by XGBoost student ranker: semantic fit 0.913, 5.7y exp, assessment 75."
CAND_0018499,82,1.6841,"Ranked by XGBoost student ranker: semantic fit 0.919, 7.2y exp, assessment 83."
CAND_0031593,83,1.6835,"Ranked by XGBoost student ranker: semantic fit 0.909, 7.8y exp, assessment 59."
CAND_0041118,84,1.6831,"Ranked by XGBoost student ranker: semantic fit 0.861, 7.0y exp, assessment 57."
CAND_0039498,85,1.6828,"Ranked by XGBoost student ranker: semantic fit 0.872, 4.7y exp, assessment 67."
CAND_0036184,86,1.6814,"Ranked by XGBoost student ranker: semantic fit 0.907, 6.0y exp, assessment 67."
CAND_0098226,87,1.6812,"Ranked by XGBoost student ranker: semantic fit 0.869, 5.0y exp, assessment 62."
CAND_0046526,88,1.6797,"Ranked by XGBoost student ranker: semantic fit 0.888, 5.5y exp, assessment 58."
CAND_0095213,89,1.6785,"Ranked by XGBoost student ranker: semantic fit 0.880, 5.1y exp, assessment 57."
CAND_0052615,90,1.674,"Ranked by XGBoost student ranker: semantic fit 0.852, 7.8y exp, assessment 54."
CAND_0043860,91,1.6726,"Ranked by XGBoost student ranker: semantic fit 0.883, 6.1y exp, assessment 71."
CAND_0047907,92,1.6718,"Ranked by XGBoost student ranker: semantic fit 0.886, 6.6y exp, assessment 70."
CAND_0011687,93,1.6698,"Ranked by XGBoost student ranker: semantic fit 0.918, 7.8y exp, assessment 78."
CAND_0005632,94,1.669,"Ranked by XGBoost student ranker: semantic fit 0.855, 5.6y exp, assessment 57."
CAND_0070202,95,1.6688,"Ranked by XGBoost student ranker: semantic fit 0.917, 5.1y exp, assessment 72."
CAND_0092763,96,1.6664,"Ranked by XGBoost student ranker: semantic fit 0.858, 5.0y exp, assessment 62."
CAND_0076035,97,1.6652,"Ranked by XGBoost student ranker: semantic fit 0.870, 7.0y exp, assessment 55."
CAND_0091748,98,1.6647,"Ranked by XGBoost student ranker: semantic fit 0.850, 5.6y exp, assessment 59."
CAND_0065561,99,1.6646,"Ranked by XGBoost student ranker: semantic fit 0.897, 4.7y exp, assessment 60."
CAND_0002344,100,1.6642,"Ranked by XGBoost student ranker: semantic fit 0.901, 4.7y exp, assessment 61."
